car_company,car_model,registered_yr,Kms_driven,owner_type,body_type,seats,transmission_type,fuel_type,engine_capacity_in_cc,mileage_in_kmpl,max_power_in_bhp,insurance,city,resale_price_in_Lakh_Rupees
Honda,Honda Amaze SX i-VTEC,2014,118976,First Owner,Sedan,5,Manual,Petrol,1198,18,86,Third Party,Lucknow,3.3
Maruti,Maruti Wagon R CNG LXI,2021,82599,First Owner,Hatchback,5,Manual,CNG,998,32,58,Third Party insurance,Lucknow,6.03
Toyota,Toyota Etios VX,2011,60000,Second Owner,Sedan,5,Manual,Petrol,1496,17,88,Third Party insurance,Lucknow,3
Maruti,Maruti Ciaz 1.4 Sigma,2018,16425,First Owner,Sedan,5,Manual,Petrol,1373,20,91,Without Insuarance,Lucknow,6.5
Honda,Honda City V MT Exclusive,2013,120000,Third Owner,Sedan,5,Manual,Petrol,1497,16,116,Third Party insurance,Chandigarh,3.1
Nissan,Nissan Micra Active XL Petrol,2018,40000,Second Owner,Hatchback,5,Manual,Petrol,1198,19,67,Third Party insurance,Chandigarh,5.5
Maruti,Maruti Eeco 5 Seater Standard BSIV,2013,96499,Second Owner,Maruti,5,Manual,Petrol,1196,15,73,Without Insuarance,Chandigarh,1.15
Maruti,Maruti Zen LXI,2002,80728,Second Owner,Hatchback,5,Manual,Petrol,993,17,98,Without Insuarance,Chandigarh,8.71
Tata,Tata Hexa XM,2019,31290,First Owner,MUV,7,Manual,Diesel,2179,17,153,Without Insuarance,Bangalore,13
Ford,Ford Ecosport 1.5 Ti VCT MT Signature BSIV,2018,40000,First Owner,SUV,5,Manual,Petrol,1499,18,110,Comprehensive,Delhi,9.5
Ford,Ford Endeavour 2.2 Trend AT 4X2,2016,90000,Second Owner,SUV,7,Automatic,Diesel,2198,12,158,Third Party insurance,Jaipur,20.75
Hyundai,Hyundai Alcazar Prestige (O) 7-Str Diesel AT,2021,54000,First Owner,SUV,7,Automatic,Diesel,1498,18,113,Comprehensive,Jaipur,18.25
Skoda,Skoda Rapid 1.5 TDI Ambition BSIV,2017,115000,First Owner,Sedan,5,Manual,Diesel,1498,21,108,Third Party insurance,Jaipur,6.75
Honda,Honda Jazz 1.2 V i VTEC,2017,47739,Second Owner,Hatchback,5,Manual,Petrol,1199,18,88,Comprehensive,Kolkata,4.2
Volkswagen,Volkswagen Vento 1.5 TDI Comfortline,2014,30000,First Owner,Sedan,5,Manual,Diesel,1498,20,103,Third Party insurance,Kolkata,3.4
Renault,Renault KWID 1.0 RXT,2017,40000,Second Owner,Hatchback,5,Manual,Petrol,999,23,67,Third Party insurance,Kolkata,2.55
Maruti,Maruti Swift Dzire VXI,2016,41565,Second Owner,Sedan,5,Manual,Petrol,1197,22,88,Comprehensive,Kolkata,3.43
Honda,Honda City i VTEC VX,2015,79513,First Owner,Sedan,5,Manual,Petrol,1497,17,117,Comprehensive,Kolkata,4.39
Hyundai,Hyundai Verna 1.6 SX VTVT,2011,50000,Second Owner,Sedan,5,Manual,Petrol,1591,17,121,Third Party insurance,Kolkata,3.5
Renault,Renault Duster 85PS Diesel RxZ,2016,58000,First Owner,SUV,5,Manual,Diesel,1461,19,83,Comprehensive,Kolkata,4.65
Tata,Tata Tiago XZA Plus,2020,54865,First Owner,Hatchback,5,Automatic,Petrol,1199,23,83,Third Party insurance,Ahmedabad,5.61
Maruti,Maruti Wagon R CNG LXI,2021,71603,First Owner,Hatchback,5,Manual,CNG,998,32,58,Third Party,Ahmedabad,5.61
Hyundai,Hyundai Grand i10 1.2 Kappa Magna BSIV,2017,60637,First Owner,Hatchback,5,Manual,Petrol,1197,18,81,Third Party insurance,Ahmedabad,4.39
Honda,Honda City 1.5 S MT,2009,118371,Fourth Owner,Sedan,5,Manual,Petrol,1497,17,85,Third Party,Ahmedabad,2.15
Hyundai,Hyundai Venue SX Turbo,2021,46027,First Owner,SUV,5,Manual,Petrol,998,18,118,Comprehensive,Ahmedabad,9.17
Maruti,Maruti Alto 800 LXI,2013,119306,First Owner,Hatchback,5,Manual,Petrol,796,22,47,Without Insuarance,Ahmedabad,1.3
Toyota,Toyota Etios V,2012,65000,Second Owner,Sedan,5,Manual,Petrol,1496,17,110,Third Party,Ahmedabad,3
Audi,Audi A3 35 TDI Attraction,2016,71000,First Owner,Sedan,5,Automatic,Diesel,1968,20,143,Third Party insurance,Ahmedabad,17.25
Honda,Honda City i-VTEC V,2017,60000,First Owner,Sedan,5,Manual,Petrol,1497,17,117,Third Party insurance,Chennai,7.5
Maruti,Maruti Swift LXI,2020,50000,First Owner,Hatchback,5,Manual,Petrol,1197,21,81,Third Party insurance,Chennai,5
Honda,Honda Amaze S i-Vtech,2016,120757,First Owner,Sedan,5,Manual,Petrol,1198,18,86,Comprehensive,Chennai,4.88
Toyota,Toyota Fortuner 4x4 AT,2013,85000,Second Owner,SUV,7,Automatic,Diesel,2982,12,168,Comprehensive,Chennai,17
